WAV Files

Path	Format Tag	Num Channels	Channel Mask	Sample Rate	Avg Bytes Per Sec	Block Align	Bit Depth	Num Samples

\SFX\dash 1.wav	0xFFFE	1	0x00000004	44100	88200	2	16	13424
\SFX\dash 2.wav	0xFFFE	1	0x00000004	44100	88200	2	16	13598
\SFX\dash 3.wav	0xFFFE	1	0x00000004	44100	88200	2	16	14805
\SFX\dash 4.wav	0xFFFE	1	0x00000004	44100	88200	2	16	14631
\SFX\footstep 1 con.wav	0xFFFE	1	0x00000004	44100	88200	2	16	8950
\SFX\footstep 1 grass.wav	0xFFFE	1	0x00000004	44100	88200	2	16	1116
\SFX\footstep 2 con.wav	0xFFFE	1	0x00000004	44100	88200	2	16	9350
\SFX\footstep 2 grass.wav	0xFFFE	1	0x00000004	44100	88200	2	16	1378
\SFX\footstep 3 con.wav	0xFFFE	1	0x00000004	44100	88200	2	16	9320
\SFX\footstep 3 grass.wav	0xFFFE	1	0x00000004	44100	88200	2	16	1378
\SFX\footstep 4 con.wav	0xFFFE	1	0x00000004	44100	88200	2	16	7621
\SFX\footsteps 1 wood.wav	0xFFFE	1	0x00000004	44100	88200	2	16	8605
\SFX\footsteps 2 wood.wav	0xFFFE	1	0x00000004	44100	88200	2	16	11895
\SFX\footsteps 3 wood.wav	0xFFFE	1	0x00000004	44100	88200	2	16	12122
\SFX\footsteps 4 grass.wav	0xFFFE	1	0x00000004	44100	88200	2	16	1832
\SFX\footsteps 4 wood.wav	0xFFFE	1	0x00000004	44100	88200	2	16	12122
\SFX\jump 1.wav	0xFFFE	1	0x00000004	44100	88200	2	16	7004
\SFX\jump 2.wav	0xFFFE	1	0x00000004	44100	88200	2	16	7242
\SFX\jump 3.wav	0xFFFE	1	0x00000004	44100	88200	2	16	7242
\SFX\jump 4.wav	0xFFFE	1	0x00000004	44100	88200	2	16	5671
